voltage,Current,Target
220.7,14.1,0
218.3,14.6,0
222,14.9,0
217.8,14.4,0
221.8,14.3,0
216.3,15.5,0
219.1,15,0
220.4,15.4,0
219.9,15.6,0
222.3,14.4,0
220.8,15.8,0
219.4,15.9,0
216.9,15.2,0
223.3,15.2,0
218.8,14.2,0
218,15.7,0
219.3,14.7,0
222.3,15.6,0
222.1,16,0
218.8,14.3,0
220.1,15.5,0
220,15.2,0
216.6,14.8,0
224.9,14.4,0
220.7,14.7,0
222.8,15.9,0
216.9,14.8,0
221,14.2,0
216.7,14,0
217.4,14.2,0
219.7,14.5,0
215.8,15.7,0
222.2,15.5,0
217.3,14.3,0
216.2,14.6,0
215.7,15.8,0
224.1,14.6,0
221.7,14.3,0
215,14.3,0
223.5,14.2,0
221.6,15,0
217.8,15.7,0
222,14.5,0
223.3,14.5,0
216.4,15.7,0
216.1,15.9,0
215.5,15.4,0
223.7,14.8,0
222.1,15.9,0
216.7,15.5,0
221,14.9,0
218,15,0
220.4,14.8,0
220.8,14.1,0
219.3,14.6,0
217.3,14.1,0
220.6,15,0
219.6,15.8,0
215.6,15.1,0
215.8,14.1,0
221.6,15.7,0
222.8,15.6,0
217.9,14.4,0
216.2,14.5,0
217.2,14.7,0
222.3,14.5,0
219.3,15.5,0
222.7,14,0
221.4,15.2,0
218.2,15.9,0
216.5,14.7,0
224.3,15.1,0
217,15.1,0
216.4,15.5,0
221,15.6,0
223.8,14.3,0
222.7,15.1,0
217.4,15.1,0
223.2,15.1,0
223.1,15.9,0
218,14.1,0
219.1,14.1,0
217.1,14.3,0
223.7,15.3,0
215.1,14.2,0
218.1,15.9,0
225,15.6,0
218.9,15.6,0
218,15.5,0
218.7,15.8,0
215.4,15.4,0
222.1,14.3,0
218.8,14.2,0
216.7,15.4,0
224.2,14.6,0
223.8,14.9,0
216.3,14.8,0
221.6,15.9,0
221.3,16,0
219.8,16,0
218.3,15.1,0
218.2,15,0
223.6,15.3,0
217.3,15.8,0
218.3,14.6,0
215.9,15.3,0
216.5,15.4,0
221.7,16,0
220.1,14.4,0
219,14.7,0
224.6,15.4,0
216.6,14.9,0
224.5,15.3,0
224.5,15.4,0
218.8,15.6,0
220.5,15.4,0
220.4,14.3,0
216.6,15,0
216.3,15.1,0
218.7,14.6,0
218.1,15.9,0
218.4,14.2,0
220.8,15.5,0
216.5,15.9,0
220.1,15.9,0
224.8,14.3,0
221.4,14.6,0
218.7,15.2,0
222.5,15.1,0
217.3,14.1,0
218.3,15.7,0
223.4,14.3,0
217.1,14.5,0
223.4,14.2,0
215.1,15.3,0
222.7,14.8,0
219.9,15.3,0
224,15.1,0
219.3,14.7,0
221.9,15.6,0
224.6,15.4,0
223.6,16,0
217.3,15.5,0
217.8,14.7,0
222.9,14.8,0
217.4,14.4,0
218.6,15.9,0
222.2,15.8,0
224.8,14.5,0
221.2,14.9,0
215.7,14.9,0
217.9,14.2,0
223,15.8,0
219.4,14.4,0
223.9,14.7,0
216.4,14.1,0
219.3,15.4,0
215.2,14.4,0
216.9,15.5,0
217.5,14.7,0
222.9,14.1,0
221.7,14.5,0
221.4,14.9,0
221.9,15.9,0
215.9,15.7,0
219.4,14.1,0
215.3,14.1,0
222.8,15.4,0
215.5,14.8,0
223.2,14.3,0
223.4,14.3,0
217.2,15.3,0
221.5,14.1,0
217.3,14.7,0
223.2,16,0
216.6,14.5,0
224.1,14.8,0
224,14.2,0
221.9,14.6,0
220.5,14.3,0
215.7,15,0
222,14.4,0
218.7,14.9,0
218.1,15.5,0
220.5,14.7,0
215.9,14.5,0
218,14.6,0
216.6,14.4,0
218.2,14.6,0
217.9,14.1,0
218.7,15.4,0
221.7,14.3,0
221.7,15.5,0
221,14.7,0
221.9,15,0
219.7,15.2,0
221.4,15.2,0
219.3,14.7,0
216.9,15.9,0
222.5,15.2,0
217.4,15.9,0
223.4,15.2,0
221.9,14,0
217.9,14.6,0
222.7,14.5,0
217,14.5,0
218.1,15.1,0
223.7,15.5,0
215.7,14.1,0
224.2,15.3,0
216.7,15.5,0
220.3,14.9,0
218.5,14.3,0
220.6,15.7,0
215.3,14.3,0
220.7,14.1,0
220.3,14.7,0
217.6,14.3,0
221,14.7,0
220.3,14.2,0
223.9,15.8,0
218.8,15.9,0
222.8,14.8,0
221.7,14.4,0
217.1,15.3,0
223.6,14.4,0
223.5,14.8,0
223.3,14.2,0
223.7,15.6,0
219.8,15.9,0
224.4,15.4,0
219.1,14.7,0
223,14.8,0
220.3,15.2,0
223.3,15,0
224.7,15.2,0
215.2,15.5,0
219,15.7,0
217.2,15.4,0
217.2,16,0
220.9,14.5,0
216.5,14.6,0
220.1,14.9,0
222.4,15,0
224.5,14.3,0
224.5,14.9,0
217.7,14.9,0
224.1,15.4,0
220.5,15.3,0
222.9,14.7,0
218,14.4,0
217.3,15.7,0
222,15,0
217.1,14.3,0
215.5,15.3,0
224.5,16,0
217.1,15,0
222.8,15.1,0
217,14,0
221.2,15.9,0
217.3,14.1,0
216,15.8,0
218.5,14.6,0
224.5,15.2,0
219.8,15.5,0
218.3,15.1,0
221,15.1,0
216.4,15.9,0
222.8,15.8,0
221.7,15.3,0
215.1,15.1,0
223.1,14.1,0
218,15.7,0
219.6,15,0
218,15.4,0
221.1,15.3,0
221,14.2,0
219.3,14.2,0
224.1,15.8,0
218.5,15.5,0
217,14.7,0
222.1,14.9,0
223.8,14.8,0
222.6,14.7,0
222.6,14.8,0
220.6,14.1,0
220.8,15.3,0
221.9,15.5,0
224.1,14.3,0
218,14.9,0
220.7,14.6,0
224.8,15.9,0
215.1,16,0
223.7,15.3,0
217.2,15.5,0
219.8,15.7,0
221.6,14.3,0
224.3,15.6,0
222.9,14.3,0
223.3,15.8,0
222.3,15.1,0
216.1,15.7,0
215.7,14.3,0
219,14.1,0
215.3,15.9,0
224.4,14.7,0
216,15.1,0
217.9,15.3,0
224.9,14.4,0
217.5,14.3,0
217.8,15.6,0
218.2,14.6,0
222.3,15.6,0
216.9,14.5,0
220.4,15.8,0
218.3,15,0
220,14.2,0
219.8,14.4,0
215.8,15.2,0
217.4,15.3,0
222.7,15,0
220.2,14.8,0
222.8,14.6,0
221.8,15.4,0
219.5,15,0
215.8,15,0
223.4,14.2,0
221.8,14.4,0
221.2,14.9,0
222.1,15.1,0
217.4,14.9,0
216.4,14.4,0
220.9,14.4,0
217,15.9,0
219.5,14.8,0
219.3,15.2,0
222.6,14,0
220.5,15.9,0
217.5,14.7,0
219.3,15,0
218.3,14.3,0
215.3,15.6,0
221.5,15.6,0
222.1,15.8,0
219.4,15.9,0
221.9,14.8,0
221.3,14.9,0
224.3,14.3,0
224.7,14.9,0
221.8,14.4,0
219.1,14.5,0
220,14.8,0
221.7,15.6,0
224.3,15.7,0
219.8,15.1,0
222,14.1,0
224.2,14.4,0
216.4,14.3,0
215.7,15.8,0
218.6,16,0
216,15.3,0
220.8,14.6,0
223.8,15.4,0
216.9,14.6,0
218.6,15.8,0
221.7,14.3,0
217.9,14,0
224.7,15.7,0
221.8,15.9,0
224.2,14.6,0
224.7,14.9,0
218.4,14.1,0
215.9,15.4,0
219.7,14.9,0
219.5,14.2,0
222.9,15.3,0
215,14.1,0
216.2,15.9,0
219.1,15.3,0
224.2,14.1,0
220.4,15,0
220.3,14.7,0
216.1,14,0
218,15.5,0
222.9,15.8,0
218.1,15.8,0
223.5,14.7,0
217.3,14.7,0
218.2,14.4,0
219.6,14.2,0
215.3,15.1,0
219.6,14.5,0
219.6,14,0
220.1,15.3,0
215.1,15.3,0
218.2,14.2,0
217.7,15.2,0
223.6,14.1,0
223.9,15.8,0
220.8,15.3,0
218,14.7,0
218,15.3,0
224.3,14.6,0
215.1,14.4,0
220.7,14.3,0
223.5,14.8,0
222.7,14.6,0
222.8,14.1,0
217.9,15.6,0
224.2,15.5,0
217.1,14.4,0
216.6,15.4,0
215.2,14.3,0
215.2,15.1,0
223.6,14.2,0
222.1,15.3,0
221.8,15.5,0
218.9,15.3,0
223,15.8,0
219.8,14.6,0
222.6,14.3,0
224.4,14.5,0
217.1,14.7,0
217.3,14.9,0
215.2,14.3,0
218,15.3,0
217.6,14.5,0
221.9,15,0
220.2,14.8,0
220.3,15.3,0
216.8,14.4,0
215.4,14.8,0
219.9,15.4,0
217.3,14,0
223.5,15.1,0
221.9,15.9,0
223.7,14.3,0
222.8,15.1,0
218.6,15,0
223.2,14.3,0
223.3,14.6,0
221.6,14.5,0
224.4,16,0
223.2,15.1,0
221.8,14,0
219,15.3,0
221.3,15.8,0
216,14.6,0
222.5,14.4,0
217.9,15.3,0
221.6,15.4,0
223.2,15.5,0
222.5,15.2,0
220.1,15.9,0
224.2,14.4,0
215.2,14.7,0
218.5,15.9,0
222.2,14.5,0
215.4,15.7,0
222.1,15.3,0
217,14.5,0
223.2,15.5,0
219.8,14.8,0
218.2,15.6,0
221,14.4,0
223.1,15,0
222,14.9,0
224.1,15.4,0
218.7,15.2,0
222.6,14.8,0
221.2,14,0
216.2,15.2,0
215.6,14.4,0
222.4,14.3,0
222.7,14.4,0
217,14.5,0
223.9,14.5,0
223.4,14.2,0
222.4,14.4,0
219.6,15.7,0
219.5,14.5,0
224.5,15,0
223.2,15.7,0
224.9,15.4,0
216,15.6,0
216.5,15.8,0
223.6,15.3,0
217,15.9,0
217,14.7,0
222.5,15.5,0
222.8,15,0
216.3,15.5,0
224.1,14.7,0
221.6,14.9,0
224.6,14.9,0
221.7,14.9,0
221,14,0
215.9,14.7,0
221.4,15.4,0
222.2,14.5,0
30.9,8.8,1
11.5,2.8,1
