voltage,Current,Target
282.8,24.9,1
286.0,21.7,1
279.9,19.1,1
292.1,27.7,1
281.1,22.6,1
230.6,26.4,1
276.1,19.2,1
278.4,24.6,1
232.9,20.5,1
233.7,19.9,1
253.8,19.9,1
296.9,16.4,1
249.4,21.2,1
255.1,20.1,1
290.6,25.9,1
289.3,24.9,1
248.6,20.0,1
297.1,24.2,1
297.8,26.2,1
274.5,21.2,1
241.1,26.4,1
284.1,23.3,1
290.3,26.4,1
257.2,18.1,1
276.3,16.8,1
288.2,18.7,1
280.2,16.2,1
244.5,28.3,1
269.7,28.8,1
262.9,16.1,1
233.0,29.4,1
280.8,26.5,1
283.5,16.7,1
242.7,16.5,1
259.9,24.3,1
245.5,23.6,1
229.0,19.1,1
288.0,19.2,1
234.0,26.6,1
232.1,18.2,1
279.3,17.2,1
244.3,24.8,1
296.4,27.6,1
253.4,29.9,1
284.8,22.5,1
232.6,24.3,1
267.9,24.8,1
299.7,25.1,1
276.3,28.5,1
297.4,26.5,1
239.0,20.0,1
257.3,25.7,1
282.3,16.1,1
250.8,26.9,1
298.3,19.3,1
258.9,18.9,1
233.2,24.6,1
267.5,16.7,1
261.6,28.4,1
273.0,22.7,1
262.4,17.1,1
246.6,28.6,1
246.5,28.7,1
273.7,26.2,1
260.7,27.0,1
296.1,19.0,1
286.8,20.6,1
251.9,18.8,1
274.3,18.3,1
269.2,24.9,1
248.4,19.0,1
241.3,18.8,1
282.3,27.2,1
289.4,25.9,1
286.3,28.1,1
248.0,19.5,1
272.2,17.2,1
257.1,27.9,1
247.4,22.5,1
272.8,27.6,1
278.0,16.0,1
291.3,27.4,1
230.5,19.6,1
235.2,26.1,1
242.2,16.9,1
262.7,16.8,1
245.0,20.7,1
250.5,17.9,1
297.7,29.9,1
256.3,20.1,1
294.4,18.8,1
273.0,21.4,1
243.0,25.7,1
260.4,24.1,1
267.5,19.4,1
286.6,28.3,1
270.9,21.0,1
249.4,17.5,1
294.2,18.3,1
298.8,26.2,1
271.5,28.4,1
284.3,17.2,1
296.5,19.5,1
244.7,27.7,1
264.8,21.4,1
239.4,25.8,1
240.0,22.0,1
274.8,30.0,1
281.7,18.2,1
269.8,28.5,1
293.8,23.1,1
264.8,19.7,1
282.7,28.6,1
226.6,25.6,1
246.9,19.2,1
267.1,20.6,1
226.8,18.7,1
257.4,24.4,1
242.0,27.9,1
242.1,16.9,1
225.9,19.4,1
293.9,25.6,1
286.6,16.6,1
251.6,16.6,1
281.8,22.1,1
287.4,19.7,1
249.1,21.2,1
279.6,27.9,1
273.7,29.5,1
263.6,16.4,1
259.5,23.5,1
238.2,19.9,1
249.4,23.7,1
276.8,27.7,1
290.3,22.7,1
265.8,16.5,1
297.9,17.4,1
291.0,16.2,1
232.0,21.9,1
245.4,17.2,1
234.9,29.1,1
280.5,27.0,1
245.9,19.8,1
271.5,29.4,1
236.7,22.0,1
271.7,26.4,1
264.2,22.5,1
278.7,18.0,1
235.7,23.2,1
246.5,27.6,1
284.0,28.4,1
273.9,19.0,1
283.6,25.9,1
263.7,28.6,1
256.6,20.0,1
276.8,23.9,1
278.5,23.5,1
255.9,24.2,1
263.9,18.0,1
249.5,28.8,1
287.3,24.9,1
251.1,16.7,1
259.5,24.7,1
264.4,29.2,1
230.3,20.1,1
292.6,23.5,1
268.6,28.0,1
295.6,18.6,1
251.0,27.9,1
262.9,20.6,1
262.4,17.6,1
295.6,28.4,1
260.2,18.3,1
261.8,26.2,1
275.5,29.3,1
266.2,26.9,1
286.1,24.3,1
226.3,25.6,1
253.9,17.0,1
248.3,26.3,1
237.6,25.3,1
279.8,22.5,1
260.4,18.9,1
235.5,23.3,1
273.8,23.9,1
226.5,27.0,1
231.6,19.3,1
236.3,25.2,1
294.9,27.2,1
260.5,21.3,1
258.0,26.7,1
299.3,28.4,1
251.8,24.0,1
242.4,24.2,1
252.0,25.6,1
274.1,28.6,1
265.7,20.7,1
240.8,24.2,1
282.1,29.8,1
253.0,28.8,1
266.9,19.1,1
251.4,21.8,1
258.7,29.4,1
246.2,27.1,1
293.7,23.2,1
243.5,21.2,1
299.4,17.8,1
237.3,26.2,1
265.5,18.4,1
255.8,28.8,1
282.0,27.6,1
292.7,16.7,1
260.4,20.7,1
298.9,22.7,1
253.3,19.9,1
253.2,18.6,1
241.9,28.1,1
269.4,26.8,1
234.0,28.9,1
286.5,16.2,1
270.3,23.0,1
269.6,21.6,1
271.6,22.4,1
226.4,21.7,1
292.0,22.5,1
288.2,26.0,1
233.0,17.8,1
288.1,23.7,1
255.5,29.4,1
298.5,25.1,1
228.7,22.3,1
270.1,18.0,1
284.2,25.8,1
283.5,27.6,1
236.2,25.2,1
270.7,21.1,1
273.1,27.9,1
253.9,21.4,1
274.5,22.8,1
281.5,20.2,1
246.5,29.2,1
245.8,28.6,1
274.2,17.8,1
240.1,21.4,1
297.6,19.5,1
242.8,26.0,1
277.7,19.1,1
291.5,20.8,1
250.0,26.0,1
264.4,29.7,1
